START,n_0,C_min,Npred_0,CpredBound,Lambda_min,Jitter,JitterRatio
(7#)25/2,2633,2.168203,2729,0.019495,4.711496e+00,7.638733,6.131843e+00
(7#)13,2809,2.065835,2833,0.020050,4.635061e+00,8.008543,5.726484e+00
(7#)27/2,2909,2.274897,2939,0.051100,3.795906e+00,8.008543,6.398404e+00
(7#)14,2974,2.064698,3041,0.080223,3.247929e+00,8.008543,5.857821e+00
(7#)29/2,3076,1.845344,3137,0.101761,2.897794e+00,8.008543,5.268313e+00
(7#)15,3221,2.107297,3253,0.118976,2.874240e+00,8.008543,6.174139e+00
(7#)31/2,3334,2.210551,3359,0.129636,2.836267e+00,8.008543,6.619621e+00
(7#)16,3386,2.340982,3463,0.144378,2.785891e+00,8.008543,7.150184e+00
(11#)3/2,3559,2.029695,3559,0.164746,2.511236e+00,8.008543,6.197243e+00
(7#)17,3571,2.249487,3673,0.186182,2.491733e+00,8.008543,7.021749e+00
(7#)35/2,3769,1.943543,3779,0.197824,2.284890e+00,8.008543,6.070255e+00
(7#)18,3799,2.075010,3881,0.202186,2.328533e+00,8.008543,6.644961e+00
(7#)37/2,3964,2.216472,3989,0.220040,2.309863e+00,8.008543,7.232530e+00
(7#)19,4051,2.044491,4093,0.229241,2.188130e+00,8.008543,6.705911e+00
(7#)39/2,4153,2.340594,4096,0.221861,2.356109e+00,8.378353,7.485729e+00
(7#)20,4282,2.220909,4297,0.232830,2.255363e+00,8.378353,7.284649e+00
(7#)41/2,4393,2.306710,4409,0.228011,2.314184e+00,8.783970,7.408695e+00
(7#)21,4486,2.143577,4513,0.230682,2.229191e+00,8.783970,6.939953e+00
(7#)43/2,4603,2.102361,4603,0.240451,2.168300e+00,8.783970,6.857470e+00
(11#)2,4651,2.085780,4723,0.247525,2.131387e+00,8.783970,6.904650e+00
(7#)45/2,4801,1.856187,4817,0.252726,1.993974e+00,8.783970,6.114093e+00
(7#)23,4909,2.178086,4933,0.254494,2.146925e+00,8.783970,7.469424e+00
(7#)47/2,4987,2.151973,5039,0.256713,2.126182e+00,8.783970,7.480099e+00
(7#)24,5086,2.176695,5119,0.257405,2.134912e+00,8.783970,7.666842e+00
(7#)49/2,5242,2.126897,5237,0.265485,2.080861e+00,8.783970,7.566608e+00
(7#)25,5308,2.217466,5351,0.273855,2.091522e+00,8.783970,8.032282e+00
(7#)51/2,5416,1.965120,5449,0.275793,1.963658e+00,8.783970,7.079310e+00
(7#)26,5557,2.301782,5563,0.272754,2.132869e+00,8.783970,8.639121e+00
(7#)53/2,5596,2.182571,5669,0.272758,2.079674e+00,8.783970,8.250319e+00
(7#)27,5728,2.248387,5749,0.282305,2.074980e+00,8.783970,8.585394e+00
(11#)5/2,5857,2.159168,5879,0.273701,2.065442e+00,8.783970,8.376218e+00
(7#)28,5906,2.349289,5981,0.281840,2.120528e+00,8.783970,9.307101e+00
(7#)57/2,6038,2.309643,6089,0.284310,2.094783e+00,8.783970,9.244057e+00
(7#)29,6131,2.233345,6173,0.280844,2.073456e+00,8.783970,9.006233e+00
(7#)59/2,6218,2.356115,6299,0.276413,2.142873e+00,8.783970,9.743608e+00
(7#)30,6353,2.124621,6397,0.273232,2.051027e+00,8.783970,8.777880e+00
(7#)61/2,6421,2.298798,6491,0.272977,2.130754e+00,8.783970,9.713677e+00
(7#)31,6568,2.399779,6607,0.265382,2.201962e+00,9.189587,9.917323e+00
(7#)63/2,6719,2.265862,6719,0.261107,2.160780e+00,9.634478,9.000991e+00
(7#)32,6791,2.430712,6823,0.255092,2.254315e+00,9.634478,9.884853e+00
(7#)65/2,6863,2.365471,6917,0.261582,2.201985e+00,9.634478,9.660669e+00
(11#)3,7024,2.323062,7027,0.250395,2.227602e+00,9.634478,9.634241e+00
(7#)67/2,7108,2.390305,7129,0.245055,2.277694e+00,9.634478,1.008353e+01
(7#)34,7219,2.055910,7243,0.241889,2.139995e+00,9.634478,8.632070e+00
(7#)69/2,7246,2.136908,7349,0.246582,2.159421e+00,9.634478,9.097046e+00
