FIRST,LAST,START,minAt*,Gpred(minAt*),maxAt*,Gpred(maxAt*),n_0*,Cpred_min(n_0*),n_1*,Cpred_max(n_1*),n_geom,<COUNT>*,Cpred_avg
4,4,4e0,4,1.493,4,1.493,4,2.870137,4,2.87013699,4,1.493454,2.870136988
5,5,5e0,5,3.294,5,3.294,5,4.266093,5,4.26609329,5,3.293911,4.266093288
6,6,6e0,6,3.373,6,3.373,6,5.413807,6,5.41380731,6,3.372666,5.413807307
7,7,7e0,7,2.688,7,2.688,7,3.393036,7,3.39303648,7,2.688216,3.393036479
8,8,8e0,8,2.604,8,2.604,8,2.814638,8,2.81463781,8,2.603689,2.814637805
9,9,9e0,9,4.822,9,4.822,9,5.820367,9,5.82036707,9,4.822380,5.820367067
10,19,1e1,11,2.693,15,7.044,16,2.765142,15,7.37996871,14,4.037357,4.109955430
20,29,2e1,23,3.219,21,7.190,29,2.855749,21,6.66425498,24,4.674198,4.008610582
30,39,3e1,31,3.599,30,9.518,32,2.734624,30,7.34072410,34,5.875702,4.342958559
40,49,4e1,41,4.070,45,11.063,47,2.783035,45,7.28666194,44,6.184507,4.046823456
50,59,5e1,53,4.585,57,9.881,59,2.764597,51,5.80359534,54,6.618523,3.928729084
60,69,6e1,61,4.914,60,12.965,64,2.715385,60,7.24494775,64,7.990019,4.340828374
70,79,7e1,71,5.301,75,14.354,79,2.745929,75,7.23135463,74,8.063223,4.047202741
80,89,8e1,83,5.760,84,13.913,89,2.743169,84,6.50338549,84,8.327179,3.908389316
90,99,9e1,97,6.281,90,16.072,97,2.738599,90,7.23185422,94,9.811834,4.323499368
100,199,1e2,101,6.424,195,27.366,128,2.702466,105,8.66686583,141,12.091792,4.080977884
200,299,2e2,202,9.766,285,33.792,256,2.693275,210,8.62979456,245,16.579845,4.063567731
300,399,3e2,302,12.550,390,42.862,397,2.696054,315,8.61115415,346,20.837876,4.098430035
400,499,4e2,401,15.007,495,51.076,499,2.692035,420,8.60223889,447,24.413372,4.057833697
500,599,5e2,503,17.461,525,57.416,512,2.686429,525,8.59706998,547,27.926306,4.051345918
600,699,6e2,601,19.710,630,65.143,691,2.687864,630,8.59207809,648,31.573649,4.082268614
700,799,7e2,701,21.912,735,72.351,797,2.686508,735,8.58719170,748,34.743607,4.065224363
800,899,8e2,802,24.121,840,79.520,887,2.685154,840,8.58407866,848,37.700801,4.041064264
900,999,9e2,907,26.225,945,86.298,997,2.684190,945,8.58200080,948,41.170983,4.079345519
1000,1999,1e3,1006,28.273,1995,156.634,1024,2.681141,1155,9.53007910,1414,56.693336,4.057524907
2000,2999,2e3,2003,46.388,2730,203.656,2048,2.676937,2310,9.51595498,2449,82.595392,4.050963137
3000,3999,3e3,3001,62.612,3990,262.878,3989,2.674342,3465,9.50870704,3464,106.439358,4.053752409
4000,4999,4e3,4001,77.747,4620,308.334,4096,2.673517,4620,9.50395507,4472,128.674503,4.048586947
5000,5999,5e3,5003,92.148,5775,365.623,5987,2.672347,5775,9.50061339,5477,149.925580,4.045511333
6000,6999,6e3,6002,105.977,6930,420.804,6997,2.671684,6930,9.49810045,6480,170.664333,4.048910078
7000,7999,7e3,7001,119.287,7980,447.279,7993,2.671125,7140,9.11771327,7483,190.510407,4.045514200
8000,8999,8e3,8002,132.326,8925,491.498,8192,2.670682,8085,9.49598970,8485,209.877826,4.043496559
9000,9999,9e3,9001,144.964,9975,532.112,9973,2.670244,9240,9.49418124,9486,229.126138,4.047209596
10000,19999,1e4,10007,157.456,19635,1016.477,16384,2.668294,15015,10.35083057,14142,326.995902,4.042471047
20000,29999,2e4,20011,272.112,28875,1297.599,29989,2.666592,21945,10.04198433,24494,491.943923,4.039792065
30000,39999,3e4,30011,376.471,39270,1774.049,32768,2.666256,30030,10.34278742,34641,645.284408,4.038770037
40000,49999,4e4,40009,474.885,49665,2061.641,49999,2.665207,45045,10.33859678,44721,791.090977,4.037473864
50000,59999,5e4,50012,569.305,58905,2467.244,59999,2.664751,58905,10.10632240,54772,931.556536,4.036630008
60000,69999,6e4,60013,660.536,69615,2777.274,65536,2.664496,60060,10.33582324,64807,1067.962520,4.036300381
70000,79999,7e4,70001,749.250,78540,3123.135,79999,2.664067,75075,10.33378523,74833,1200.881672,4.035598264
80000,89999,8e4,80018,836.219,87780,3397.192,89989,2.663800,87780,10.02851528,84852,1331.018374,4.035115497
90000,99999,9e4,90001,921.143,98175,3753.075,99991,2.663563,90090,10.33218950,94868,1458.858907,4.034996121
100000,199999,1e5,100003,1004.773,195195,6791.222,131072,2.662962,105105,10.33087844,141421,2124.632760,4.033551189
200000,299999,2e5,200003,1786.821,285285,9881.467,262144,2.661612,255255,11.01228466,244949,3259.703512,4.031930701
300000,399999,3e5,300002,2509.952,390390,12153.648,399989,2.660873,345345,10.81343727,346410,4326.988818,4.031020961
400000,499999,4e5,400006,3198.407,495495,14867.711,499979,2.660498,435435,10.70261344,447213,5350.503991,4.030332453
500000,599999,5e5,500009,3862.643,570570,17742.145,524288,2.660415,510510,11.00731275,547722,6342.159900,4.029818494
600000,699999,6e5,600004,4508.493,690690,20648.093,699967,2.659959,690690,10.80879355,648074,7309.030030,4.029450993
700000,799999,7e5,700001,5139.584,765765,22953.594,799999,2.659754,765765,11.00465781,748331,8255.521480,4.029089830
800000,899999,8e5,800011,5758.585,855855,25050.780,899981,2.659576,855855,10.92304735,848528,9184.984498,4.028786921
900000,999999,9e5,900001,6367.082,990990,26813.855,999983,2.659420,930930,10.67143888,948683,10099.941778,4.028575320
1000000,1999999,1e6,1000003,6966.645,1996995,51800.143,1048576,2.659347,1021020,11.00287541,1414213,14905.630414,4.027680142
2000000,2999999,2e6,2000003,12629.169,2984520,71656.392,2097152,2.658389,2042040,10.99889284,2449489,23174.922024,4.026566891
3000000,3999999,3e6,3000014,17924.274,3993990,94336.295,3999971,2.657580,3063060,10.99674671,3464101,31018.303599,4.025914672
4000000,4999999,4e6,4000006,22999.945,4849845,119115.017,4194304,2.657523,4849845,11.64119356,4472136,38584.107412,4.025447344
5000000,5999999,5e6,5000011,27921.373,5870865,139178.222,5999993,2.657109,5870865,11.51705495,5477225,45946.035989,4.025090025
6000000,6999999,6e6,6000011,32724.825,6891885,152786.196,6999997,2.656936,6561555,11.43183220,6480740,53147.991337,4.024805231
7000000,7999999,7e6,7000003,37433.339,7912905,178317.080,7999993,2.656790,7402395,11.39961102,7483314,60218.839586,4.024562220
8000000,8999999,8e6,8000009,42062.891,8843835,195079.599,8388608,2.656738,8273265,11.31527384,8485281,67179.142452,4.024353252
9000000,9999999,9e6,9000011,46624.943,9699690,218080.471,9999991,2.656551,9699690,11.63782117,9486833,74044.260753,4.024176732
10000000,19999999,1e7,10000019,51128.298,19399380,400766.957,16777216,2.656022,14549535,11.63598835,14142135,110319.938805,4.023548074
20000000,29999999,2e7,20000003,93973.225,29099070,573037.189,29999999,2.655470,24249225,11.63381159,24494897,173179.758092,4.022737699
30000000,39999999,3e7,30000001,134379.306,38798760,739026.350,33554432,2.655368,33948915,11.63245216,34641016,233197.535763,4.022254840
40000000,49999999,4e7,40000003,173314.544,48498450,900567.329,49999991,2.655016,43648605,11.63147281,44721359,291347.827623,4.021911311
50000000,59999999,5e7,50000012,211208.098,58198140,1058690.865,59999999,2.654860,53348295,11.63071187,54772255,348118.135754,4.021646124
60000000,69999999,6e7,60000002,248301.174,67897830,1214054.495,67108864,2.654766,63047985,11.63009216,64807407,403800.571835,4.021431503
70000000,79999999,7e7,70000022,284747.952,77597520,1367112.432,79999987,2.654622,72747675,11.62957093,74833147,458588.878040,4.021250645
80000000,89999999,8e7,80000006,320654.551,87297210,1518196.264,89999999,2.654526,82447365,11.62912216,84852813,512620.813803,4.021095176
90000000,99999999,9e7,90000034,356098.906,99804705,1692401.736,99999989,2.654442,92147055,11.62872880,94868329,565999.046343,4.020959655
