DECADE,n_0,C_min,Npred_0,Cpred_min,n_1,C_max,Npred_1,Cpred_max,n_geom,C_avg,Cpred_avg,Align,CpredAlign
0,4,1.921812,4,2.87013699,4,1.921812,4,2.87013699,4,1.921812,2.64064726,37.491820,0.000000
0,5,2.590290,5,4.26609329,5,2.590290,5,4.26609329,5,2.590290,4.26609329,19.747448,0.000000
0,6,2.140268,6,6.21887455,6,2.140268,6,6.21887455,6,2.140268,6.21887455,14.403679,0.000000
0,7,0.000000,7,3.39303648,7,0.000000,7,3.39303648,7,0.000000,3.39303648,11.939414,0.000000
0,8,2.162039,8,2.81463781,8,2.162039,8,2.81463781,8,2.162039,2.81463781,10.554433,0.000000
0,9,4.827796,9,5.82036707,9,4.827796,9,5.82036707,9,4.827796,5.82036707,9.682480,0.000000
1,11,0.000000,16,2.76514172,15,4.190592,15,7.37996871,15,2.225233,4.01876698,7.692647,0.000000
1,28,1.586227,29,2.85574939,21,5.561470,21,6.66425498,25,2.767780,4.02053563,7.306559,0.000000
1,37,1.448748,32,2.73462427,30,6.169677,30,7.34072410,35,3.110719,4.33099119,7.323440,0.000000
1,43,0.000000,47,2.78303527,45,6.586672,45,7.28666194,45,2.746579,4.05231999,7.544445,0.000000
1,59,1.146642,59,2.76459736,57,5.837951,51,5.80359534,55,3.444943,3.92309015,7.776756,0.000000
1,64,1.081019,64,2.71538521,60,6.705463,60,7.24494775,65,3.262668,4.34450112,7.876622,0.000000
1,79,0.979081,79,2.74592873,75,7.053239,75,7.23135463,75,3.922845,4.04341550,8.174731,0.000000
1,89,1.831623,89,2.74316855,81,4.827796,84,6.50338549,85,3.287355,3.91074574,8.368469,0.000000
1,97,0.871999,97,2.73859883,90,5.399543,90,7.23185422,95,3.436758,4.32055410,8.519579,0.000000
2,199,1.132084,128,2.70246576,105,8.330518,105,8.66686583,141,3.583408,4.08097788,9.070939,0.000000
2,223,1.053604,256,2.69327548,210,8.169017,210,8.62979456,245,3.602339,4.06423727,10.906149,0.073329
2,379,1.492247,397,2.69605382,315,8.431106,315,8.61115415,347,3.754889,4.09735539,12.449916,0.450209
2,433,1.364958,499,2.69203486,420,7.991882,420,8.60223889,447,3.819910,4.05744364,13.390681,0.620560
2,569,1.983900,512,2.68642910,570,7.912132,525,8.59706998,547,3.788293,4.05134592,13.502839,0.633750
2,661,1.788981,691,2.68786367,660,7.918936,630,8.59207809,649,3.849522,4.08269353,14.912089,0.842853
2,706,1.706515,797,2.68650813,735,8.545496,735,8.58719170,749,3.944286,4.06558233,15.652970,0.933304
2,802,1.784236,887,2.68515443,840,8.204146,840,8.58407866,849,3.919971,4.04121796,16.240287,0.997965
2,967,1.761041,997,2.68419046,975,7.586652,945,8.58200080,949,3.790608,4.07948187,16.914886,1.066483
3,1402,1.647631,1024,2.68114071,1155,9.135596,1155,9.53007910,1415,3.930334,4.05732740,17.074063,1.078937
3,2029,1.715762,2048,2.67693692,2730,9.539146,2310,9.51595498,2449,3.938192,4.05096314,21.933686,1.431712
3,3076,1.845344,3989,2.67434162,3465,9.205098,3465,9.50870704,3465,3.947789,4.05381398,28.232970,1.701219
3,4801,1.856187,4096,2.67351721,4620,9.432003,4620,9.50395507,4473,3.975565,4.04863303,28.523092,1.709954
3,5416,1.965120,5987,2.67234740,5775,9.302545,5775,9.50061339,5477,3.956638,4.04552966,33.076108,1.836535
3,6353,2.124621,6997,2.67168396,6930,9.570228,6930,9.49810045,6481,4.021600,4.04892526,35.177176,1.883580
3,7219,2.055910,7993,2.67112453,7770,9.129686,7140,9.11771327,7483,3.972489,4.04549973,37.088347,1.921711
3,8777,2.179478,8192,2.67068212,8925,9.643464,8085,9.49598970,8485,3.976809,4.04350777,37.453908,1.928219
3,9649,2.163663,9973,2.67024401,9240,9.637497,9240,9.49418124,9487,3.991146,4.04719853,40.525087,1.981236
4,11272,2.131467,16384,2.66829428,15015,10.422348,15015,10.35083057,14143,4.004160,4.04245695,49.569576,2.098481
4,20816,2.279925,29989,2.66659241,21945,10.036306,21945,10.04198433,24495,4.010742,4.03978826,63.634117,2.215614
4,35792,2.297694,32768,2.66625607,30030,10.293246,30030,10.34278742,34641,4.011841,4.03877239,66.031750,2.230577
4,40597,2.307754,49999,2.66520706,45045,10.267641,45045,10.33859678,44721,4.011235,4.03747564,78.859762,2.295924
4,51826,2.346624,59999,2.66475120,58905,10.142189,58905,10.10632240,54773,4.015062,4.03663285,85.186934,2.321028
4,67904,2.413565,65536,2.66449625,60060,10.288579,60060,10.33582324,64807,4.024570,4.03629909,88.440533,2.332531
4,71633,2.358847,79999,2.66406689,75075,10.186498,75075,10.33378523,74833,4.012790,4.03559927,96.281749,2.357264
4,89459,2.383150,89989,2.66379965,87780,9.960052,87780,10.02851528,84853,4.016448,4.03511638,101.248509,2.370976
4,92357,2.434532,99991,2.66356349,90090,10.384689,90090,10.33218950,94869,4.025406,4.03499768,105.925148,2.382740
5,116728,2.402456,131072,2.66296164,150150,10.404410,105105,10.33087844,141421,4.020835,4.03355119,119.001420,2.410834
5,204928,2.464243,262144,2.66161176,255255,10.988794,255255,11.01228466,244949,4.022875,4.03193098,160.756979,2.470690
5,366794,2.499164,399989,2.66087269,345345,10.823075,345345,10.81343727,346411,4.023491,4.03102055,193.435695,2.499940
5,463549,2.513127,499979,2.66049818,435435,10.808231,435435,10.70261344,447213,4.022716,4.03033245,213.394196,2.513510
5,548461,2.531963,524288,2.66041527,510510,11.026899,510510,11.00731275,547723,4.024812,4.02981837,217.908435,2.516240
5,686398,2.527108,699967,2.65995946,690690,10.755350,690690,10.80879355,648075,4.023686,4.02945078,247.596742,2.531812
5,770558,2.532269,799999,2.65975367,765765,10.999099,765765,11.00465781,748331,4.022217,4.02908983,262.698356,2.538418
5,804191,2.552045,899981,2.65957595,855855,10.950614,855855,10.92304735,848529,4.025351,4.02878707,276.797796,2.543953
5,915961,2.547074,999983,2.65941957,930930,10.674738,930930,10.67143888,948683,4.024420,4.02857525,290.072193,2.548687
6,1201553,2.553525,1048576,2.65934749,1276275,11.043507,1021020,11.00287541,1414213,4.023671,4.02768014,296.262246,2.550751
6,2053553,2.579809,2097152,2.65838879,2042040,11.036389,2042040,10.99889284,2449489,4.023685,4.02656689,403.850587,2.576785
6,3004042,2.591117,3999971,2.65758050,3573570,11.047450,3063060,10.99674671,3464101,4.023936,4.02591467,540.093919,2.595174
6,4792159,2.588525,4194304,2.65752329,4849845,11.627998,4849845,11.64119356,4472135,4.023153,4.02544734,551.793917,2.596339
6,5167067,2.597599,5999993,2.65710885,5870865,11.544510,5870865,11.51705495,5477225,4.023416,4.02509003,648.866153,2.604424
6,6175451,2.603294,6999997,2.65693635,6561555,11.429827,6561555,11.43183220,6480741,4.022315,4.02480524,695.868765,2.607545
6,7376626,2.610535,7999993,2.65678982,7402395,11.421215,7402395,11.39961102,7483315,4.023270,4.02456221,739.383864,2.610089
6,8143934,2.607556,8388608,2.65673807,8273265,11.322354,8273265,11.31527384,8485281,4.023595,4.02435326,755.500753,2.610957
6,9121549,2.613892,9999991,2.65655073,9699690,11.630432,9699690,11.63782117,9486833,4.022609,4.02417674,818.385945,2.614029
